tick,day,cost_of_goods,opinion_mean,opinion_std,opinion_min,opinion_max,disposition_mean,disposition_max,count_quiet,count_agitated,count_flight,count_protest,count_riot,count_mob,count_employed,count_unhoused,avg_connections,homophily
1086,193,102.30177005724613,0.11396335732747673,0.6994486202724903,-0.9224136349801942,0.9549415292890032,0.08853349845236841,0.4451188649782606,3,13,34,0,0,0,44,6,6.92,0.9513795184773507
1087,194,102.30177005724613,0.11203148060473617,0.7017151529472462,-0.9224136349801942,0.965517000835004,0.08541734234093383,0.5655784787811828,2,15,33,0,0,0,44,6,6.92,0.9499876585224294
1088,194,102.30177005724613,0.11203148060473617,0.7017151529472462,-0.9224136349801942,0.965517000835004,0.03092875858140612,0.5114805050853601,7,16,27,0,0,0,44,6,6.92,0.9503264950249193
1089,195,102.30177005724613,0.10939431466162411,0.7088626094583179,-0.9224136349801942,0.9549415292890032,-0.032836686255905904,0.47875804555840407,12,17,21,0,0,0,44,6,6.92,0.9485705830938752
1090,195,102.30177005724613,0.10939431466162411,0.7088626094583179,-0.9224136349801942,0.9549415292890032,0.03196542781623892,0.48345546004855555,6,20,24,0,0,0,44,6,6.92,0.9485705830938752
1091,196,102.30177005724613,0.10719236868126919,0.7157218970379639,-0.9425006752039438,0.9852561689108258,0.06673554900236199,0.5282906244639191,4,16,30,0,0,0,44,6,6.92,0.943679838146045
1092,196,102.30177005724613,0.10719236868126919,0.7157218970379639,-0.9425006752039438,0.9852561689108258,0.07663135990955214,0.5018482064339215,2,18,30,0,0,0,44,6,6.92,0.945229087862881
1093,197,102.30177005724613,0.10411756074669466,0.726212141261953,-0.9425006752039438,0.9954683965197496,0.05860452461461985,0.4969721646084625,3,17,30,0,0,0,44,6,6.92,0.9444199575226534
1094,197,102.30177005724613,0.10411756074669466,0.726212141261953,-0.9425006752039438,0.9954683965197496,0.09131657882016421,0.4885694758068261,2,19,29,0,0,0,44,6,6.92,0.9463634476102979
1095,198,102.30177005724613,0.10233384047228483,0.7421871004744277,-0.9837560665753545,0.9987127508797429,0.047120193362768355,0.4570665144345084,5,17,28,0,0,0,44,6,6.88,0.9484705088893943
1096,198,102.30177005724613,0.10195537145835595,0.723317610063354,-0.9567186978226084,0.9856757826157831,0.07581885712839444,0.5266539047975635,3,17,30,0,0,0,44,6,6.88,0.949813837082317
1097,199,102.30177005724613,0.10324052932920265,0.7307527485869181,-0.9567186978226084,0.9781548188129409,0.06706995006777654,0.45049169223806973,3,15,32,0,0,0,44,6,6.88,0.9513341245651467
1098,199,102.30177005724613,0.10324052932920265,0.7307527485869181,-0.9567186978226084,0.9781548188129409,0.006549309127821174,0.9074459180125034,9,17,24,0,0,0,44,6,6.88,0.9520499411891555
1099,200,102.30177005724613,0.09903964501151051,0.7514918759203164,-0.9567186978226084,0.96917057992328,0.008347308095835206,0.5658524957746889,5,19,26,0,0,0,44,6,6.88,0.9542624541441067
