tick,eim_1d
495,-0.8821950337583182
496,-0.8744537800893604
497,-0.818241706002387
498,-0.764171828159981
499,-0.7721899389658539
500,-0.7795808661846659
501,-0.7960140176690015
502,-0.7682479114818355
503,-0.7566570085821503
504,-0.787555078561741
505,-0.822611265922996
506,-0.6764638666214351
507,-0.7313014401893068
508,-0.8650916341240965
509,-0.9116512233382204
510,-0.8838642491331534
511,-0.8643155006512496
512,-0.8350621179261137
513,-0.8447480007581598
514,-0.855485786362937
515,-0.9060737711142487
516,-0.9084219641400432
517,-0.5616005887518676
518,-0.5545078933168412
519,-0.6728706706991265
520,-0.7964971501885437
521,-0.8675848238321363
522,-0.8488598745426795
523,-0.8816387478224326
524,-0.9155990369600229
525,-0.9153841511169436
526,-0.8688782368235719
527,-0.856551214830735
528,-0.8530666642863733
529,-0.8236617451750817
530,-0.8911984816323077
531,-0.8554302968380822
532,-0.8824178283344675
533,-0.9503933456254452
534,-0.9358196674481752
535,-0.8673653119302742
536,-0.8225082418976857
537,-0.8322313090853062
538,-0.8423661481210843
539,-0.8312743665289947
540,-0.8866221924047195
541,-0.8946614531446718
542,-0.8939626157008931
543,-0.5658850795443873
544,-0.5359400171441976
545,-0.707290734406602
546,-0.7420835123887408
547,-0.7909879506563765
548,-0.8471262964896566
549,-0.8778686411230197
550,-0.8235385966014438
551,-0.8217516521790472
552,-0.5336799820672324
553,-0.5337275657609835
554,-0.6792204606077145
555,-0.6881492114473968
556,-0.7101053158840478
557,-0.584643822730377
558,-0.5530165863314136
559,-0.5964577241512301
560,-0.6127559243913179
561,-0.6095301573990825
562,-0.6407683634205095
563,-0.6540602783226298
564,-0.6838475255790697
565,-0.6877744422982275
566,-0.7202941670675348
567,-0.7460858370384061
568,-0.7376808917105151
569,-0.7684540546815722
570,-0.7698426050919454
571,-0.7461550130297734
572,-0.7368680043167302
573,-0.7381498314456112
574,-0.8333335230552473
575,-0.8934231836637943
576,-0.9173577323594199
577,-0.9316992089765258
578,-0.8904815798303752
579,-0.8673439844561961
580,-0.8541137522831066
581,-0.6946430925374427
582,-0.3638863309983481
583,-0.4245569629220629
584,-0.32842230917138393
585,-0.34990364836605037
586,-0.4732102673344243
587,-0.5670477024803013
588,-0.6222966354732555
589,-0.612812407058328
590,-0.6313201955682926
591,-0.6715695456949253
592,-0.6937642575958544
593,-0.4258237075753448
594,-0.40741667817342997
595,-0.5929484642561007
596,-0.6942801291589579
597,-0.7431142638694441
598,-0.7742070750072655
599,-0.7747795732289681
600,-0.7943457659663439
601,-0.8740340652919814
602,-0.9058707736060403
603,-0.8591436731617106
604,-0.8010955080325229
605,-0.764347757021203
606,-0.7765317200185216
607,-0.804587677017406
608,-0.8010465897418851
609,-0.799201257223868
610,-0.724246997294301
611,-0.6968704964723552
612,-0.7398677485448216
613,-0.7472145858299712
614,-0.7348962025022641
615,-0.7106726976104418
616,-0.7054035829735785
617,-0.8024453041494719
618,-0.8668236296644192
619,-0.8937298626014439
620,-0.5765777244378667
621,-0.529965065403418
622,-0.6155105175795521
623,-0.6821057484564139
624,-0.721270224570126
625,-0.7980392230097251
626,-0.760725093159017
627,-0.7511717560832492
628,-0.748571184109301
629,-0.7529680172032516
630,-0.7207649739305603
631,-0.70399379893089
632,-0.7913661820332989
633,-0.8498536402616275
634,-0.6899199459534613
635,-0.6713038960386228
636,-0.791017907313001
637,-0.8540058653327646
638,-0.8815208949580703
639,-0.8509537866878767
640,-0.8357821846560046
641,-0.8133181066841871
642,-0.8095005661560881
643,-0.8174088953836767
644,-0.8728305551651914
645,-0.8764027731684821
646,-0.8494311041323247
647,-0.9049970350284067
648,-0.8981738313559132
649,-0.8735689066958223
650,-0.8551067039489554
651,-0.5456379721196393
652,-0.5423099520978224
653,-0.6776478092744389
654,-0.7892185721046407
655,-0.8692108280263714
656,-0.5877279505560314
657,-0.5104064711949858
658,-0.6589869335041416
659,-0.7229461584252748
660,-0.7748170639134997
661,-0.535885104104526
662,-0.5204441187919099
663,-0.6652373981726682
664,-0.7403296033712748
665,-0.718449870453812
666,-0.5629119523478503
667,-0.5450699114740015
668,-0.5831423340668151
669,-0.6736122604084458
670,-0.6747878137694394
671,-0.6814034940572826
672,-0.6601096096591101
673,-0.6118869352296926
674,-0.6858952449241652
675,-0.45191146475939814
676,-0.4888454486868401
677,-0.633695590005459
678,-0.665932124921716
679,-0.6980421388143188
680,-0.7214591857785174
681,-0.4748977467006241
682,-0.32620531284811527
683,-0.3739359512616114
684,-0.4000658214287175
685,-0.5076008554850968
686,-0.5845163642953737
687,-0.5806149519810058
688,-0.6504625197958396
689,-0.6050205359964674
690,-0.5708799148195618
691,-0.5508192514373131
692,-0.6004075293507758
693,-0.37581147095142386
694,-0.39957262444866104
695,-0.5228514625080882
696,-0.5588129286428696
697,-0.565416663319817
698,-0.5478510474345757
699,-0.6302358541719675
700,-0.3298237930844953
701,-0.11347620199587849
702,-0.21538560377244198
703,-0.34712278370046423
704,-0.41730528403378075
705,-0.21584318540668657
706,-0.26085777313544223
707,-0.3684051666361484
708,-0.15583341757534086
709,-0.1819836846147972
710,-0.10824222313462906
711,-0.17685650045660262
712,-0.3168951853795756
713,-0.17481208756766253
714,0.0739657438754373
715,0.15291318026248946
716,0.035890713950925246
717,-0.08982180019399
718,-0.20754681004191056
719,-0.25107426441328606
720,-0.22335105722597304
721,-0.24603888855958755
722,-0.16204303631773487
723,0.04722222199901416
724,0.07444493785539175
725,-0.01769665233295803
726,-0.15157586663512523
727,-0.2440139510053101
728,-0.048152345546144226
729,-0.045076288816864096
730,-0.1572642279612695
731,-0.06402980026806482
732,-0.10349622425964133
733,-0.16607474370247088
734,0.004543784988684019
735,-0.03127404140858914
736,0.11110174682611529
737,0.1039313509625448
738,-0.038630809012420886
739,0.07871405767647421
740,0.030588131636463567
741,0.08065999895468035
742,0.035478368849517716
743,-0.032450928183541894
744,0.07887861679670816
745,0.2835654917896384
746,0.17722965994915874
747,-0.037403092000153904
748,-0.1301026369921936
749,-0.16904195470191186
750,-0.19850177317649886
751,-0.22413073784819448
752,-0.21864066163046458
753,0.015010169287777098
754,0.11916616415286163
755,0.2125250262076901
756,0.11250712240345129
757,0.14320372419409821
758,0.05539071027594544
759,0.09408019517453137
760,0.08297454381091018
761,-0.0446426169288513
762,-0.09322885880249465
763,-0.10312381496126499
764,-0.14099072963274417
765,-0.2895064803050301
766,-0.25800532101102314
767,-0.23842792001195645
768,-0.3106870597774307
769,-0.30069326991595946
770,-0.28651504311463716
771,-0.33890226167401705
772,-0.454447125477383
773,-0.4432713867688275
774,-0.4003723408537895
775,-0.39049277789753034
776,-0.39697224525338504
777,-0.37732485231280377
778,-0.3517656989454563
779,-0.08318828651984655
780,0.08301544161230101
781,-0.10004147845697053
782,-0.25713641492172623
783,-0.05133335262847505
784,-0.10866647649484462
785,0.011152061594934759
786,-0.10731968067311504
787,-0.022597341635644197
788,0.10812833417476342
789,0.15647261724155404
790,0.18384190025223845
791,0.1484633646526381
792,0.03521961520160266
793,-0.07443329326270776
794,-0.1073287828364059
795,-0.17771956590483584
796,-0.19515321371730954
797,-0.18459833036239903
798,-0.30252657471241007
799,-0.3263928478969145
800,-0.3025112096352478
801,-0.16996695882156065
802,-0.12298745366507047
803,0.020419914855413168
804,-0.04979221946070134
805,-0.15418025760114307
806,0.07133586026188743
807,0.21878605127586437
808,0.12808967389636372
809,-0.020628945264869802
810,-0.07442432009983202
811,-0.21616399659584584
812,-0.2805431737570494
813,-0.21942617748256
814,-0.20873575884312068
815,-0.02302509488595572
816,0.20172862926295143
817,0.012859046982153455
818,-0.11427868290688614
819,0.06669343251177762
820,0.19620860980939137
821,0.3143332653790256
822,0.2083001618436795
823,0.0794553221334402
824,-0.09230095930414739
825,-0.1949863048571514
826,-0.14035898861201812
827,-0.12311519236268853
828,-0.14338316333221024
829,0.03301009114918774
830,0.1545812534114599
831,0.04063950344963385
832,-0.019282285055821302
833,-0.05596483465293278
834,0.06513523831928802
835,0.2786980154091352
836,0.08889754271039751
837,-0.08431754317531492
838,-0.2154620416858286
839,-0.298572383419464
840,-0.10886795400721827
841,-0.02839088356629782
842,-0.18873685371653826
843,-0.23770970679500636
844,0.009444758627702887
845,0.18598427825930086
846,0.2179624852756301
847,0.23530871586216118
848,0.3582488448200034
849,0.22546940438433816
850,0.12739082820245806
851,0.19300393389326498
852,0.2083820606026192
853,0.15806458531753909
854,0.28870340069887757
855,0.3232484812443246
856,0.37493616683354314
857,0.2755310810469638
858,0.23186309269318173
859,0.21226598530304708
860,0.08348069672751035
861,0.18677398926512012
862,0.2548968466595867
863,0.22640722389280254
864,0.14825635227897305
865,0.02950134482502187
866,0.2171651902311038
867,0.2524811383303951
868,0.10173623376429108
869,0.04734258271328606
870,0.061336411369950605
871,0.243225791881986
872,0.3930678984198277
873,0.41133323257223964
874,0.3446859897891763
875,0.22243531254895266
876,0.236578708944291
877,0.3417108418904997
878,0.3073844621893187
879,0.3364046277272379
880,0.23895988383410738
881,0.10973261722841432
882,0.2904160018004245
883,0.4244689635776202
884,0.4707412876546455
885,0.49455824722526587
886,0.4061878668487906
887,0.4349999556719639
888,0.3532859028007036
889,0.4192477344084333
890,0.5358972800501565
891,0.3209765579102857
892,0.17831865339458441
893,0.033562419592988224
894,-0.022830388812102864
895,0.17924025327647897
896,0.183516747624745
897,0.11099085579549706
898,0.0712802577497067
899,0.22127461444316876
900,0.392234393972841
901,0.4319913494851477
902,0.3273742093784857
903,0.3449972199761655
904,0.28295159494306943
905,0.1689630759438736
906,0.1193784263333233
907,0.08334200167494465
908,0.0789343883627287
909,0.22168061519893656
910,0.4061330485109924
911,0.21861856942616908
912,0.24105147207890987
913,0.22101678249388446
914,0.3254998262242941
915,0.29497150111237214
916,0.3383250125991788
917,0.28059428477854365
918,0.20215760095820734
919,0.19794771444185044
920,0.11933944235277072
921,0.07105225887857336
922,0.06339691825593796
923,0.044415731247642976
924,0.2323134943054026
925,0.3350911560585421
926,0.4077272377582022
927,0.4605352278033399
928,0.3701432364088524
929,0.39286214850642565
930,0.5210744020717584
931,0.4516459406335094
932,0.3633704479588642
933,0.4405951740837606
934,0.485998889128582
935,0.40329239653903204
936,0.2936520175210362
937,0.372328305907176
938,0.3489568637887277
939,0.25774700111875704
940,0.39363950530225433
941,0.3048299188602175
942,0.20652673835739344
943,0.27537568648386457
944,0.3745644707818818
945,0.38988661413465864
